"2016-03-08 03:25:48","33.216","14","14.173","6.828","17","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:25:54","33.203","9","13.49","5.376","3","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:25:58","34.677","10","13.319","4.942","2","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:04","33.619","7","13.552","5.825","7","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:08","33.385","6","13.008","4.551","14","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:14","34.891","6","11.984","3.225","10","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:18","31.118","17","13.101","5.796","8","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:24","32.988","14","13.412","6.552","8","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:29","32.56","19","12.868","5.746","3","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:34","31.949","1","13.815","6.43","18","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:39","32.579","18","12.137","3.983","19","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:44","33.839","17","10.99","3.988","17","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:49","33.196","18","12.339","4.487","8","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:54","32.806","10","11.625","2.884","13","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:26:59","33.353","9","12.199","4.307","18","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:27:04","32.125","6","11.796","4.269","8","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:27:10","34.034","13","12.059","3.865","19","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:27:14","32.138","20","11.345","4.485","19","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:27:19","32.346","18","11.546","4.908","4","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:27:24","32.131","2","10.863","2.811","3","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:27:30","32.339","2","11.345","4.263","3","21","-117.2347713","32.8825399","0","0"
"2016-03-08 03:27:34","32.131","12","11.236","3.709","2","21","-117.2347713","32.8825399","0","0"
